run_id,tn,fp,fn,tp
run_01_lr1.50e-05_wd0.010_warm0.06,91504,733,680,2831
run_02_lr1.50e-05_wd0.010_warm0.10,91409,828,623,2888
run_03_lr1.50e-05_wd0.015_warm0.06,91519,718,681,2830
run_04_lr1.50e-05_wd0.015_warm0.10,91491,746,656,2855
run_05_lr1.75e-05_wd0.010_warm0.06,91444,793,655,2856
run_06_lr1.75e-05_wd0.010_warm0.10,91437,800,630,2881
run_07_lr1.75e-05_wd0.015_warm0.06,91506,731,677,2834
run_08_lr1.75e-05_wd0.015_warm0.10,91451,786,636,2875
run_09_lr2.00e-05_wd0.010_warm0.06,91433,804,621,2890
run_10_lr2.00e-05_wd0.010_warm0.10,91499,738,676,2835
run_11_lr2.00e-05_wd0.015_warm0.06,91405,832,609,2902
run_12_lr2.00e-05_wd0.015_warm0.10,91498,739,671,2840
run_13_lr2.50e-05_wd0.010_warm0.06,91398,839,602,2909
run_14_lr2.50e-05_wd0.010_warm0.10,91444,793,641,2870
run_15_lr2.50e-05_wd0.015_warm0.06,91408,829,602,2909
run_16_lr2.50e-05_wd0.015_warm0.10,91429,808,630,2881
