run_id,train_size,train_fraction,max_train_samples,actual_train_samples,actual_val_samples,validation_fraction,random_state,use_iterative_stratify,rebalance_train,model_name,problem_type,max_length,batch_size,gradient_accumulation_steps,effective_batch_size,max_epochs,epochs_ran,best_epoch,early_stopped,learning_rate,weight_decay,warmup_ratio,warmup_steps,max_grad_norm,early_stop_enabled,early_stop_patience,early_stop_min_delta,loss_type,pos_weight_used,mixed_precision,use_amp_effective,torch_compile,num_workers,num_params,train_time_s,inference_time_s,best_val_loss,train_loss_last,val_loss_last,baseline_micro_f1,baseline_macro_f1,baseline_samples_f1,tuned_micro_f1,tuned_macro_f1,tuned_samples_f1,threshold_grid_start,threshold_grid_end,threshold_grid_step
train_size_10000,10000,0.06963157931385042,10000,10000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,5,4,False,1.5e-05,0.015,0.06,93,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,253.61,119.15,0.04852389079800439,0.030843622735515237,0.04917386793629462,0.7442424242424243,0.45040880732853467,0.0644716189521303,0.7489878542510121,0.5911601016510838,0.0656807859809489,0.05,0.9949999999999996,0.005
train_size_20000,20000,0.13926315862770083,20000,20000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,5,4,False,1.5e-05,0.015,0.06,187,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,509.24,118.73,0.04548711593884355,0.024900108058191837,0.04669558262207055,0.7683109118086696,0.5191998915858507,0.06704396931555724,0.762649115590292,0.6063165407468865,0.06667453363781223,0.05,0.9949999999999996,0.005
train_size_30000,30000,0.20889473794155125,30000,30000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,281,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,611.45,99.22,0.04324561139038635,0.02519932322042684,0.04600689569850945,0.7649047326367547,0.40086524115381234,0.06748712393843363,0.7738095238095238,0.6199876827753255,0.07035430939115611,0.05,0.9949999999999996,0.005
train_size_40000,40000,0.27852631725540167,40000,40000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,375,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,815.62,99.41,0.04201221361442307,0.02379300739262253,0.044234130506819944,0.7814404432132964,0.5987971724962536,0.07018563972129582,0.7825013713658804,0.6555670650076987,0.07044915160593816,0.05,0.9949999999999996,0.005
train_size_50000,50000,0.3481578965692521,50000,50000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,5,3,True,1.5e-05,0.015,0.06,468,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,1274.02,119.46,0.0416656919675254,0.018394294899199158,0.045193451288722424,0.7860324759304498,0.6558932522160373,0.06942148102694537,0.7899581589958159,0.6896860908966528,0.06815635903554189,0.05,0.9949999999999996,0.005
train_size_60000,60000,0.4177894758831025,60000,60000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,562,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,1224.2,98.71,0.039017747725742236,0.02194519672803581,0.04374710235338544,0.7875442321302194,0.6649283129047912,0.07107137476857993,0.7924996553150421,0.6883049978435895,0.06954815734738032,0.05,0.9949999999999996,0.005
train_size_70000,70000,0.48742105519695295,70000,70000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,656,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,1427.23,98.72,0.03829011727734058,0.021421279353162806,0.044736623918189236,0.7912994029001991,0.6526214022210401,0.07029993234404815,0.7922131713378434,0.6910132300359253,0.06832159255708573,0.05,0.9949999999999996,0.005
train_size_80000,80000,0.5570526345108033,80000,80000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,5,3,True,1.5e-05,0.015,0.06,750,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,2041.11,118.55,0.039681300751190446,0.017243262226664228,0.04537625318705263,0.7860653368025441,0.6566472449212504,0.06983593929013154,0.7938060309698451,0.6960250750766616,0.07161947659503744,0.05,0.9949999999999996,0.005
train_size_90000,90000,0.6266842138246538,90000,90000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,843,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,1836.57,99.67,0.03801828781273477,0.02083454410791811,0.044430344171608835,0.7908820614469773,0.6768181336136915,0.07056336284623038,0.7930893755951571,0.7011232964316257,0.07246841320660097,0.05,0.9949999999999996,0.005
train_size_100000,100000,0.6963157931385042,100000,100000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,937,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,2040.28,99.83,0.037248851751833074,0.020568411085503176,0.042594620152278606,0.7873945849977807,0.6431511303783207,0.06667523895246667,0.7993835808349677,0.6994597333473402,0.07129582307236149,0.05,0.9949999999999996,0.005
train_size_110000,110000,0.7659473724523546,110000,110000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,1031,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,2245.97,98.61,0.03897656802398191,0.020646167395564474,0.04359675039610331,0.7916836526701998,0.6675885692980857,0.07363413104420749,0.795716415887217,0.7000204652356058,0.07211214340240535,0.05,0.9949999999999996,0.005
train_size_120000,120000,0.835578951766205,120000,120000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,1125,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,2449.8,99.89,0.03680520312861075,0.0211326023352313,0.04299860000948049,0.7931960608773501,0.6613718490263041,0.06858464327445403,0.7976091187100361,0.7097178352352885,0.06928192819281928,0.05,0.9949999999999996,0.005
train_size_130000,130000,0.9052105310800554,130000,130000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,1218,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,2664.32,99.24,0.03781690271359561,0.0203504204830316,0.044614286076864004,0.7933929800412939,0.653936267760957,0.07513967490781627,0.7973819802255954,0.6987251491869891,0.06934138260118959,0.05,0.9949999999999996,0.005
train_size_140000,140000,0.9748421103939059,140000,140000,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,1312,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,2871.44,99.35,0.03802149239497097,0.020717952680286752,0.04416147413776016,0.7924200781136989,0.6801557138300791,0.06618115699454212,0.7960116327378479,0.7048292237205139,0.06974040080319062,0.05,0.9949999999999996,0.005
train_size_143613,143613,1.0,143613,143613,15958,0.1,42,True,False,bert-base-uncased,multi_label_classification,192,16,2,32,5,4,2,True,1.5e-05,0.015,0.06,1346,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,109486854,2943.86,99.09,0.03857218795647879,0.020826348693379636,0.04415457053910213,0.795112016293279,0.6770615293959036,0.07386330405192418,0.7980861244019138,0.7055102915780695,0.07137718292624921,0.05,0.9949999999999996,0.005
