train_size,train_fraction,max_train_samples,label,tn,fp,fn,tp
10000,0.1636982713462546,10000,toxic,13533,896,318,1211
10000,0.1636982713462546,10000,severe_toxic,15297,501,27,133
10000,0.1636982713462546,10000,obscene,14530,583,179,666
10000,0.1636982713462546,10000,threat,15565,345,15,33
10000,0.1636982713462546,10000,insult,14600,570,184,604
10000,0.1636982713462546,10000,identity_hate,15166,651,41,100
20000,0.3273965426925092,20000,toxic,13474,955,266,1263
20000,0.3273965426925092,20000,severe_toxic,15217,581,24,136
20000,0.3273965426925092,20000,obscene,14520,593,153,692
20000,0.3273965426925092,20000,threat,14958,952,5,43
20000,0.3273965426925092,20000,insult,14482,688,138,650
20000,0.3273965426925092,20000,identity_hate,15106,711,35,106
30000,0.49109481403876376,30000,toxic,13332,1097,226,1303
30000,0.49109481403876376,30000,severe_toxic,15218,580,16,144
30000,0.49109481403876376,30000,obscene,14436,677,124,721
30000,0.49109481403876376,30000,threat,15674,236,16,32
30000,0.49109481403876376,30000,insult,14425,745,115,673
30000,0.49109481403876376,30000,identity_hate,15074,743,32,109
40000,0.6547930853850183,40000,toxic,13801,628,314,1215
40000,0.6547930853850183,40000,severe_toxic,15345,453,24,136
40000,0.6547930853850183,40000,obscene,14793,320,178,667
40000,0.6547930853850183,40000,threat,15763,147,19,29
40000,0.6547930853850183,40000,insult,14807,363,204,584
40000,0.6547930853850183,40000,identity_hate,15545,272,63,78
50000,0.8184913567312729,50000,toxic,13320,1109,202,1327
50000,0.8184913567312729,50000,severe_toxic,15163,635,18,142
50000,0.8184913567312729,50000,obscene,14475,638,111,734
50000,0.8184913567312729,50000,threat,15476,434,10,38
50000,0.8184913567312729,50000,insult,14539,631,131,657
50000,0.8184913567312729,50000,identity_hate,15087,730,29,112
60000,0.9821896280775275,60000,toxic,13611,818,259,1270
60000,0.9821896280775275,60000,severe_toxic,15270,528,18,142
60000,0.9821896280775275,60000,obscene,14641,472,134,711
60000,0.9821896280775275,60000,threat,15747,163,17,31
60000,0.9821896280775275,60000,insult,14591,579,146,642
60000,0.9821896280775275,60000,identity_hate,15301,516,37,104
61088,1.0,61088,toxic,13361,1068,216,1313
61088,1.0,61088,severe_toxic,15266,532,22,138
61088,1.0,61088,obscene,14579,534,125,720
61088,1.0,61088,threat,15721,189,17,31
61088,1.0,61088,insult,14549,621,136,652
61088,1.0,61088,identity_hate,15114,703,35,106
