loss_strategy,label,precision,recall,f1,roc_auc
bce_no_pos_weight,toxic,0.8473231989424983,0.8384565075212557,0.8428665351742275,0.9873681558662495
bce_no_pos_weight,severe_toxic,0.4339622641509434,0.71875,0.5411764705882353,0.9916638973287758
bce_no_pos_weight,obscene,0.839811542991755,0.8437869822485207,0.8417945690672963,0.9925842283985299
bce_no_pos_weight,threat,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.9831179289754872
bce_no_pos_weight,insult,0.708421052631579,0.8540609137055838,0.7744533947065593,0.9893106970409807
bce_no_pos_weight,identity_hate,0.5128205128205128,0.7092198581560284,0.5952380952380952,0.9884667139270656
bce_pos_weight_clip20,toxic,0.8003640776699029,0.8626553302812295,0.8303430909663204,0.9871011575998685
bce_pos_weight_clip20,severe_toxic,0.41379310344827586,0.75,0.5333333333333333,0.9918506298265605
bce_pos_weight_clip20,obscene,0.821917808219178,0.8520710059171598,0.8367228355607205,0.9928836688661393
bce_pos_weight_clip20,threat,0.5081967213114754,0.6458333333333334,0.5688073394495413,0.9904626283260005
bce_pos_weight_clip20,insult,0.7298787210584344,0.8401015228426396,0.7811209439528024,0.9889699731302432
bce_pos_weight_clip20,identity_hate,0.5972222222222222,0.6099290780141844,0.6035087719298246,0.9894412915092253
focal_gamma1,toxic,0.8468286099865048,0.8207979071288424,0.8336100963135171,0.9867342587852991
focal_gamma1,severe_toxic,0.42379182156133827,0.7125,0.5314685314685315,0.9917283833396633
focal_gamma1,obscene,0.8645962732919255,0.8236686390532545,0.8436363636363636,0.9928478832244821
focal_gamma1,threat,0.65,0.5416666666666666,0.5909090909090909,0.9883583438089252
focal_gamma1,insult,0.7617896009673518,0.799492385786802,0.7801857585139319,0.9894744084805371
focal_gamma1,identity_hate,0.46120689655172414,0.7588652482269503,0.5737265415549598,0.9893076710263712
focal_gamma2,toxic,0.8654804270462634,0.7952910398953564,0.8289025221540559,0.9867728320005933
focal_gamma2,severe_toxic,0.37537537537537535,0.78125,0.5070993914807302,0.9910328839093557
focal_gamma2,obscene,0.8327485380116959,0.842603550295858,0.8376470588235294,0.9918244686869763
focal_gamma2,threat,0.543859649122807,0.6458333333333334,0.5904761904761905,0.9888952178923108
focal_gamma2,insult,0.7005181347150259,0.8578680203045685,0.7712492869366799,0.9889995449206789
focal_gamma2,identity_hate,0.5284090909090909,0.6595744680851063,0.5867507886435331,0.9886998771857374
focal_gamma3,toxic,0.8488918737407656,0.8266841072596468,0.8376408217362492,0.9874322028147932
focal_gamma3,severe_toxic,0.46919431279620855,0.61875,0.5336927223719676,0.9917204709456894
focal_gamma3,obscene,0.8205128205128205,0.8710059171597633,0.8450057405281286,0.9929788492762803
focal_gamma3,threat,0.5957446808510638,0.5833333333333334,0.5894736842105263,0.9910885449402891
focal_gamma3,insult,0.733934611048478,0.8261421319796954,0.7773134328358209,0.9896639690947602
focal_gamma3,identity_hate,0.51010101010101,0.7163120567375887,0.5958702064896755,0.9907012698878169
