loss_strategy,label,best_threshold,best_f1_on_val
bce_no_pos_weight,toxic,0.4,0.8428665351742275
bce_no_pos_weight,severe_toxic,0.24,0.5411764705882353
bce_no_pos_weight,obscene,0.43,0.8417945690672963
bce_no_pos_weight,threat,0.26,0.6086956521739131
bce_no_pos_weight,insult,0.31,0.7744533947065593
bce_no_pos_weight,identity_hate,0.25,0.5952380952380952
bce_pos_weight_clip20,toxic,0.86,0.8303430909663204
bce_pos_weight_clip20,severe_toxic,0.8,0.5333333333333333
bce_pos_weight_clip20,obscene,0.9,0.8367228355607205
bce_pos_weight_clip20,threat,0.86,0.5688073394495413
bce_pos_weight_clip20,insult,0.92,0.7811209439528024
bce_pos_weight_clip20,identity_hate,0.94,0.6035087719298246
focal_gamma1,toxic,0.47,0.8336100963135171
focal_gamma1,severe_toxic,0.35,0.5314685314685315
focal_gamma1,obscene,0.57,0.8436363636363636
focal_gamma1,threat,0.38,0.5909090909090909
focal_gamma1,insult,0.44,0.7801857585139319
focal_gamma1,identity_hate,0.25,0.5768194070080862
focal_gamma2,toxic,0.51,0.8289025221540559
focal_gamma2,severe_toxic,0.41,0.5070993914807302
focal_gamma2,obscene,0.48,0.8376470588235294
focal_gamma2,threat,0.4,0.5904761904761905
focal_gamma2,insult,0.44,0.7712492869366799
focal_gamma2,identity_hate,0.41,0.5867507886435331
focal_gamma3,toxic,0.49,0.8376408217362492
focal_gamma3,severe_toxic,0.43,0.5336927223719676
focal_gamma3,obscene,0.48,0.8450057405281286
focal_gamma3,threat,0.5,0.5894736842105263
focal_gamma3,insult,0.48,0.7773134328358209
focal_gamma3,identity_hate,0.44,0.5958702064896755
