train_size,train_fraction,max_train_samples,tn,fp,fn,tp
10000.0,0.06963157931385042,10000.0,91120.0,1117.0,873.0,2638.0
20000.0,0.13926315862770083,20000.0,91441.0,796.0,785.0,2726.0
30000.0,0.20889473794155125,30000.0,91483.0,754.0,843.0,2668.0
40000.0,0.27852631725540167,40000.0,91454.0,783.0,752.0,2759.0
50000.0,0.3481578965692521,50000.0,91424.0,813.0,716.0,2795.0
60000.0,0.4177894758831025,60000.0,91458.0,779.0,747.0,2764.0
70000.0,0.48742105519695295,70000.0,91363.0,874.0,682.0,2829.0
80000.0,0.5570526345108033,80000.0,91449.0,788.0,750.0,2761.0
90000.0,0.6266842138246538,90000.0,91454.0,783.0,705.0,2806.0
100000.0,0.6963157931385042,100000.0,91439.0,798.0,721.0,2790.0
110000.0,0.7659473724523546,110000.0,91362.0,875.0,689.0,2822.0
120000.0,0.835578951766205,120000.0,91379.0,858.0,659.0,2852.0
130000.0,0.9052105310800554,130000.0,91429.0,808.0,646.0,2865.0
140000.0,0.9748421103939059,140000.0,91426.0,811.0,657.0,2854.0
143613.0,1.0,143613.0,91395.0,842.0,639.0,2872.0
